kind,kwh_per_interval
charge,767.4781361583599
charge,766.8108999410467
charge,823.0295164892614
charge,829.257633432815
charge,20.276098634255163
charge,5.5209451700471845
discharge,1.5702975286615128
discharge,6.751405569966323
discharge,10.285116654377816
discharge,18.380297604205566
charge,10.052763736220413
charge,17.567286685399495
charge,13.862989331181552
discharge,11.057475145429066
charge,8.951425801580513
charge,35.33038729505654
charge,7.1830361752273575
discharge,7.01530941577164
charge,13.594450647177041
discharge,4.844052063946378
charge,1.3749563620157232
charge,19.772767839616904
charge,15.342859370023234
charge,7.276907352737339
discharge,9.69007683682969
charge,1.5713419617532054
charge,5.5084740110719395
discharge,2.572297439430372
discharge,49.5440284909223
discharge,0.7313385065251623
charge,79.7299549297868
charge,37.89013107207211
discharge,37.783537552509074
discharge,23.559610204355522
discharge,7.50666589115076
charge,13.13339982188404
charge,63.885157272191464
charge,796.9821833744294
discharge,13.825953182070975
discharge,104.71648818417543
discharge,826.1394466785205
discharge,22.217919918419398
discharge,34.03358267890337
charge,3.5996523720480127
charge,18.50547747316284
charge,4.147441700019385
discharge,30.394654306699863
discharge,34.2391438266493
charge,6.250097585259027
charge,767.6711681745494
discharge,10.638636450082345
discharge,772.9733333333334
discharge,716.39825
discharge,651.6392333333333
discharge,649.3224999999999
discharge,593.6635166666667
discharge,524.3917666666666
discharge,484.5645833333333
discharge,472.09761666666645
discharge,457.1111499999997
discharge,417.9133333333332
discharge,356.77525
discharge,311.4636499999999
