date,interval_index,scenario_id,scenario_net_kwh,center_forecast_kwh,actual_net_kwh
2025-03-20,125,2,742.41275,736.002092,719.835983
2025-03-20,126,2,761.391667,745.966667,709.541667
2025-03-20,127,2,749.386108,739.2126,715.044683
2025-03-20,128,2,732.35745,729.781992,736.4506
2025-03-20,129,2,733.800833,727.069167,758.933333
2025-03-20,130,2,749.739158,737.4129,754.375467
2025-03-20,131,2,694.076558,659.162242,666.937533
2025-03-20,132,2,571.031667,539.903333,553.156667
2025-03-20,133,2,536.628333,533.531175,538.901467
2025-03-20,134,2,574.368925,558.192842,553.3285
2025-03-20,135,2,607.4,558.320833,542.64
2025-03-20,136,2,546.503567,553.707817,524.0221
2025-03-20,137,2,519.006592,556.852742,526.969567
2025-03-20,138,2,529.295,566.254167,549.4
2025-03-20,139,2,554.981708,582.934308,559.40135
2025-03-20,140,2,570.814275,570.857708,543.627933
2025-03-20,141,2,564.180833,554.2225,544.621667
2025-03-20,142,2,549.866292,555.695642,600.679333
2025-03-20,143,2,491.502875,504.754608,540.978183
2025-03-20,0,3,567.655,576.600833,568.418333
2025-03-20,1,3,588.376325,569.979133,549.844817
2025-03-20,2,3,585.600108,575.0196,570.3135
2025-03-20,3,3,584.915,584.253333,613.851667
2025-03-20,4,3,555.08825,584.748725,579.456167
2025-03-20,5,3,568.166775,597.524358,550.444917
2025-03-20,6,3,572.795833,594.001667,571.156667
2025-03-20,7,3,572.519567,604.236775,601.58905
2025-03-20,8,3,567.444825,590.7587,611.48375
2025-03-20,9,3,564.259167,573.410833,598.216667
2025-03-20,10,3,571.79805,581.486017,583.93595
2025-03-20,11,3,593.0542,591.350417,590.99505
2025-03-20,12,3,606.315,585.080833,598.443333
2025-03-20,13,3,590.56815,579.469617,565.983617
2025-03-20,14,3,571.5423,582.373433,546.120767
2025-03-20,15,3,580.551667,600.056667,565.713333
2025-03-20,16,3,605.522267,596.951,597.926567
2025-03-20,17,3,614.154325,610.932458,600.954467
2025-03-20,18,3,579.855,619.6675,587.131667
2025-03-20,19,3,547.195433,596.932,605.2103
2025-03-20,20,3,548.709458,579.717325,621.892383
2025-03-20,21,3,588.613333,592.434167,620.168333
2025-03-20,22,3,609.370333,628.96825,616.623083
2025-03-20,23,3,592.994317,629.010492,612.46375
2025-03-20,24,3,586.915,618.669167,603.93
2025-03-20,25,3,612.095108,641.316525,589.794633
2025-03-20,26,3,618.095975,642.077358,581.46405
2025-03-20,27,3,596.926667,614.4975,585.585
2025-03-20,28,3,601.5247,619.765708,599.725133
2025-03-20,29,3,607.663225,626.905975,616.739317
2025-03-20,30,3,604.1825,630.515833,625.595
2025-03-20,31,3,584.849525,624.007958,619.433917
2025-03-20,32,3,575.372567,631.823258,617.8444
2025-03-20,33,3,581.145833,644.470833,607.115
2025-03-20,34,3,583.757275,635.34085,575.430067
2025-03-20,35,3,633.802442,704.076108,671.463117
2025-03-20,36,3,745.0875,837.290833,827.015
2025-03-20,37,3,790.500442,845.877275,791.949933
2025-03-20,38,3,752.938267,814.061233,709.963317
2025-03-20,39,3,680.738542,789.955208,671.370833
2025-03-20,40,3,662.350433,749.887942,629.044867
2025-03-20,41,3,618.836283,702.173967,586.155917
2025-03-20,42,3,530.183333,662.270417,531.182083
2025-03-20,43,3,490.424342,605.869092,446.5755
2025-03-20,44,3,427.279683,533.942767,401.241617
2025-03-20,45,3,359.623958,479.585625,369.577083
2025-03-20,46,3,277.824608,387.734508,280.6902
2025-03-20,47,3,363.153025,472.637475,334.578067
2025-03-20,48,3,483.245833,615.791875,488.179583
2025-03-20,49,3,413.731808,569.482317,482.80385
2025-03-20,50,3,342.029133,507.59255,438.3714
2025-03-20,51,3,327.941667,485.322292,411.1575
2025-03-20,52,3,242.650808,404.397192,332.672183
2025-03-20,53,3,184.933017,371.080092,278.005133
2025-03-20,54,3,117.198333,326.178958,262.820417
2025-03-20,55,3,37.539008,250.627625,221.283767
2025-03-20,56,3,37.038892,220.373017,150.518367
2025-03-20,57,3,70.146042,209.697917,77.185417
2025-03-20,58,3,12.539,171.376367,36.09475
2025-03-20,59,3,7.55415,149.003267,41.25735
2025-03-20,60,3,-23.842708,141.245833,45.207083
2025-03-20,61,3,-106.724608,110.283925,-16.20875
2025-03-20,62,3,-126.648717,90.944508,-54.7878
2025-03-20,63,3,-77.800208,49.227083,-67.5775
2025-03-20,64,3,-126.324033,10.511158,-135.713067
2025-03-20,65,3,-154.406233,-25.382133,-183.836567
2025-03-20,66,3,-141.619792,-61.77875,-163.85
2025-03-20,67,3,-135.015958,-70.5651,-109.937383
2025-03-20,68,3,-185.368225,-92.892875,-109.84115
2025-03-20,69,3,-298.985833,-124.559375,-159.577083
2025-03-20,70,3,-295.683625,-122.245042,-180.267617
2025-03-20,71,3,-266.447508,-129.075067,-209.235117
2025-03-20,72,3,-289.342917,-164.6375,-275.021667
2025-03-20,73,3,-388.016517,-201.7348,-354.021317
2025-03-20,74,3,-401.247125,-210.999933,-372.5568
2025-03-20,75,3,-324.320208,-201.429167,-304.28375
2025-03-20,76,3,-295.543208,-203.657883,-199.829433
2025-03-20,77,3,-271.825325,-183.293333,-173.098233
2025-03-20,78,3,-217.46125,-135.312708,-195.736667
2025-03-20,79,3,-174.428167,-93.066775,-138.075567
2025-03-20,80,3,-147.99175,-59.483783,-90.300383
2025-03-20,81,3,-138.306875,-35.728125,-95.11875
2025-03-20,82,3,-74.415158,-24.175792,-102.199117
2025-03-20,83,3,-65.612067,-31.106158,-104.792733
2025-03-20,84,3,-64.274167,-10.105417,-86.655
2025-03-20,85,3,-14.6897,14.268817,-28.355233
2025-03-20,86,3,-30.567733,42.635467,18.5539
2025-03-20,87,3,-60.050625,78.435208,39.517083
