date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-06-01,55865.93258364071,34767.379695821175,55864.90841697404,34766.94176215451,15465.516113096997,88600.67105001616,123367.61281217067,0.0,2994.203172997221,1200.0,136.4276311921296,1.0,14,14
2025-06-02,58149.10113811931,35719.31981587874,58162.45363811932,35725.02934487874,13274.721879763938,80585.1002329182,116310.12957779694,0.0,1200.0,1200.0,115.52682436342593,1.0,14,14
2025-06-03,58967.522961255134,36218.05264713948,58941.4949389218,36206.92306478974,12074.13604339917,75905.95330010842,112112.87636489817,0.0,1200.0,1451.7352557407412,112.07897893518518,1.0,14,14
2025-06-04,60619.77582948064,37405.102211268226,60597.17135181397,37395.436536617955,11421.950324308646,72990.82439743704,110386.260934055,0.0,1451.7352557407412,1390.76609925926,119.71060439814813,1.0,14,14
2025-06-05,73818.51890849588,46150.48217993844,73924.23224182922,46195.685201271765,1357.9497980016613,8947.551640316866,55143.23684158863,22.942133333333175,1390.76609925926,1266.5315794472226,123.41641805555554,1.0,7,7
2025-06-06,33522.848773569276,19109.712447082813,33536.46044023595,19115.53279574948,2005.676399238333,12357.9689813095,31473.50177705898,2166.419333333336,1266.5315794472226,1240.5106645370377,172.8352595486111,1.0,7,7
2025-06-07,33868.39520464705,19190.76958317611,33693.03853798038,19115.78707250944,872.6978609166623,5371.270750252141,24487.05782276158,720.4783666666611,1240.5106645370377,1608.8270955864195,154.7285478009259,1.0,7,7
2025-06-08,78608.39079615758,49565.50049116078,78575.36975449091,49551.38069374411,0.0,0.0,49551.38069374411,9183.966482669242,1608.8270955864195,2438.8208161507087,70.68246320891203,0.75,7,7
2025-06-09,76345.732674903,48281.88875361394,76360.34267490302,48288.13598961393,0.0,0.0,48288.13598961393,1607.0067940375643,2438.8208161507087,2241.7008890127872,98.86899344618057,0.75,7,7
2025-06-10,77209.59293084123,48815.22665662966,77213.95605584125,48817.09232887966,0.0,0.0,48817.09232887966,1427.4649495884769,2241.7008890127872,2396.91227185185,99.44728046875,0.75,7,7
