表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-3,2025-09-23,12:00-12:10,402.1413,348.3604,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-09-23,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-09-23,16:00-16:10,428.9485,428.9485,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-09-23,18:00-18:10,-0.0000,760.4559,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-09-23,20:00-20:10,703.6996,703.6996,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-09-23,全天购电量,61214.0087,63934.1266,kWh,模板行 00:10→次日00:10,payload
表1,4-3,2025-09-23,全天购电费/元（模板行口径）,39855.4213,4914.3191,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-3,2025-09-23,全天购电费/元（自然日口径）,39842.1866,4914.3191,元,自然日 00:00–24:00,summary daily
表2,4-3,2025-09-23,0:00-4:00,2606.1121,8.7105,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,4:00-8:00,2101.4643,4975.2743,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,8:00-12:00,3348.8836,2387.9403,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,12:00-16:00,5787.9075,403.6249,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,16:00-20:00,7.8109,6624.4672,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,20:00-24:00,4590.8236,1873.0878,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-09-23,0:00 储电量,6814.2673,,kWh,自然日 00:00–24:00,payload/summary
表2,4-3,2025-09-23,24:00 储电量,5331.7412,,kWh,自然日 00:00–24:00,payload/summary
表3,4-3,2025-09-23,20:40-22:00,443.8791,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-3,2025-09-23,分段合计,443.8791,443.8791,kWh,自然日 00:00–24:00,payload（分段之和 vs 逐日合计）
表3,4-3,2025-09-23,当日紧急购电费/元,2343.6964,,元,自然日 00:00–24:00,summary daily
—,4-3,2025-09-23,当日总费用/元,47100.2022,,元,自然日 00:00–24:00,summary daily
表1,4-3,2025-12-21,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-12-21,12:00-12:10,949.5771,949.5771,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-12-21,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-12-21,16:00-16:10,833.8757,833.8757,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
